Ship To Address No,value
1265382.0,C
1858614.0,C
1265795.0,C
2079270.0,C
2246066.0,C
2247540.0,C
2247544.0,C
2247546.0,C
2247774.0,C
2252857.0,C
2252869.0,C
43823589.0,C
43824087.0,C
43824099.0,C
43824134.0,C
43824138.0,C
43824267.0,C
1876882.0,C
2027434.0,C
1588754.0,C
1589097.0,C
1330419.0,C
1332862.0,C
1352961.0,C
1353098.0,C
1442428.0,C
1498107.0,C
1544032.0,C
1588750.0,C
1876883.0,C
1589313.0,C
1358538.0,C
2251768.0,C
2251769.0,C
1476276.0,C
2252860.0,C
1850370.0,C
2264627.0,C
2269401.0,C
2269455.0,C
2269728.0,C
2269739.0,C
2270060.0,C
43823567.0,C
43823887.0,C
2247547.0,C
43823994.0,C
43824032.0,C
1353166.0,C
1781684.0,C
43824108.0,C
43824110.0,C
1700308.0,C
1680037.0,C
43824168.0,C
1653134.0,C
43824513.0,C
43824540.0,C
1607998.0,C
1255210.0,C
1876890.0,C
1589116.0,C
1876932.0,C
1889956.0,C
1953384.0,C
1953390.0,C
1967163.0,C
1996063.0,C
2016291.0,C
2016297.0,C
2017224.0,C
2017228.0,C
2017466.0,C
2027378.0,C
2057651.0,C
2247545.0,C
2057664.0,C
2075206.0,C
1255211.0,C
2094778.0,C
2169508.0,C
2205145.0,C
2246049.0,C
2246063.0,C
1653099.0,C
1876884.0,C
2247541.0,C
1551061.0,C
1634362.0,C
